SKU	Name	Category	Unit of Measure	Manufacturer	Brand	Manufacturer Code	Manufacturer Name	Vendor	Vendor Code	Vendor Name	Cold Chain	UPC	NDC
XS11	Standard nail, Surgical implant, for SIGN system, 10mm x 320mm	MedEquip&Supplies_Orthopedic_Surgical_Implants	each	Surgical Implant Generation Network (SIGN)		100320	10mm x 320mm Standard Nail	SIGN Fracture Care International			FALSE		
VN32	Standard nail, Surgical implant, for SIGN system, 10mm x 340mm	MedEquip&Supplies_Orthopedic_Surgical_Implants	each	Surgical Implant Generation Network (SIGN)		100340		SIGN Fracture Care International			FALSE		
SY43	Standard nail, Surgical implant, for SIGN system, 10mm x 360mm	MedEquip&Supplies_Orthopedic_Surgical_Implants	each	Surgical Implant Generation Network (SIGN)		100360		SIGN Fracture Care International			FALSE		
MJ51	Bone screw, Surgical implant, Interlocking, Series IV Step, for SIGN system, 4.5mm x 30mm	MedEquip&Supplies_Orthopedic_Surgical_Implants	each	Surgical Implant Generation Network (SIGN)		84530	Series IV Step Screw 4.5mm x 30mm	SIGN Fracture Care International			FALSE		
QV03	Bone screw, Surgical implant, Interlocking, Series IV Step, for SIGN system, 4.5mm x 35mm	MedEquip&Supplies_Orthopedic_Surgical_Implants	each	Surgical Implant Generation Network (SIGN)		84535	Series IV Step Screw 4.5mm x 35mm	SIGN Fracture Care International			FALSE		
VM48	Bone screw, Surgical implant, Interlocking, Series IV Step, for SIGN system, 4.5mm x 40mm	MedEquip&Supplies_Orthopedic_Surgical_Implants	each	Surgical Implant Generation Network (SIGN)		84540	Series IV Step Screw 4.5mm x 40mm	SIGN Fracture Care International			FALSE		
RV57	Bone screw, Surgical implant, Interlocking, Series IV Step, for SIGN system, 4.5mm x 45mm	MedEquip&Supplies_Orthopedic_Surgical_Implants	each	Surgical Implant Generation Network (SIGN)		84545	Series IV Step Screw 4.5mm x 45mm	SIGN Fracture Care International			FALSE		
FT21	Bone screw, Surgical implant, Interlocking, Series IV Step, for SIGN system, 4.5mm x 50mm	MedEquip&Supplies_Orthopedic_Surgical_Implants	each	Surgical Implant Generation Network (SIGN)		84550	Series IV Step Screw 4.5mm x 50mm	SIGN Fracture Care International			FALSE		
KH86	Bone screw, Surgical implant, Interlocking, Series IV Step, for SIGN system, 4.5mm x 55mm	MedEquip&Supplies_Orthopedic_Surgical_Implants	each	Surgical Implant Generation Network (SIGN)		84555	Series IV Step Screw 4.5mm x 55mm	SIGN Fracture Care International			FALSE		
CK83	Catheter, Foley, 2-way, 5cc balloon, Silicone coated, Sterile, 12Fr	MedEquip&Supplies_Urological	each	Teleflex Medical	Rusch Gold	180705120	Foley Catheter Rusch Gold? 2-Way Standard Tip 5 cc Balloon 12 Fr. Silicone Coated Latex	McKesson Medical	316726	CATHETER, FOLEY SIL COATED 12FR 5CC (10/BX)	FALSE		
MS46	Tape, Paper, Nonsterile, 1in x 10yd roll	MedEquip&Supplies_Wound_Care	each	McKesson	Medi-Pak	16-47310	Surgical Tape Medi-Pak? Performance Plus Paper 1 Inch X 10 Yards NonSterile	McKesson Medical	455531	TAPE, ADHSV PAPER LF 1"X10YDS (12RL/BX 12/CS)	FALSE		
VJ71	Razor, with single blade, Disposable	MedEquip&Supplies_Surgical	each	Mgm16		16-RZ24		McKesson Medical	474851		FALSE		
MA37	Brinzolamide, 1% ophthalmic suspension, 10mL bottle	Drugs_Ophthalmic	each	Alcon Laboratories	Azopt	65027510					FALSE		
UU25	IV administration set, Gravity, 60 drops/mL, with 110in tubing	MedEquip&Supplies_IV_Supplies	each	Baxter		2C7554	Administration Set 60 Drops / mL Drip Rate 110 Inch	McKesson Medical	382469	IV ADMIN SET, EPID BASIC SOL (48/CS)	FALSE		
YG24	Cards, Premier PVC, 30 Mil, for ID card printers P110i and ZXP 3	MedEquip&Supplies_Documentation/Archives	each	Zebra		104523-111		Barcodes, Inc.		PVC Card Blank White, CR-80/30 mil, 500 cards	FALSE		
AZ87	Labels, Paper, Thermal transfer, for barcodes, 4in x 1.5in, 1790 labels/roll, single roll	MedEquip&Supplies_Documentation/Archives	each	Zebra	Z-Select 4000T	800274-155-R		Barcodes, Inc.		Zebra 800274-155-R Barcode Label	FALSE		
PT54	Ferric subsulfate (Monsel's solution), 16oz bottle	Drugs_Hematologic	each	Healthlink		400500	Ferric Subsulfate (Monsel's Solution)	McKesson Medical	439357		FALSE		
ZD68	Paper, Thermal, for DASH patient monitor, pack of 300 pages	MedEquip&Supplies_Exam_&_Monitoring	each	General Electric		2009828-024	Thermo-sensitive chart paper	McKesson Medical	285546	PAPER, STANDARD THERMAL (300/PK 8PK/CS) 9402-024	FALSE		
CA62	Nebulizer, with mask, 6mL, with 84in tubing, Adult	MedEquip&Supplies_Respiratory_Resuscitation_&_Intubation	each	McKesson	Opti-Mist Clear	86-776E	Nebulizer McKesson Mask Empty	McKesson Medical	543793	Nebulizer, Opti-Mist Clr 7'tb mask 6	FALSE		
XN54	Microcuvette, for HemoCue Hb201	Lab_General_Supplies	each	HemoCue SWE				Imres	34687	cuvette, micro, for haemoglobin photometer (HemoCue Hb-201)	FALSE		
FF02	Suture, Polysorb (lactomer), 2-0, GS-22, Taper, Braided, Absorbable, 30in	MedEquip&Supplies_Surgical	each	Covidien		CL883		Covidien (Donation)	CL883		FALSE		
TD27	Nebulizer, with mask, 6mL, 80in tubing, Pediatric	MedEquip&Supplies_Respiratory_Resuscitation_&_Intubation	each	McKesson	Opti-Mist Clear	86-777E	Nebulizer McKesson Pediatric Mask Empty	McKesson Medical	543794	Nebulizer, Opti-Mist Clr 7'tb Ped-Aer-Mask (50/cs) Mgm86	FALSE		
KZ46	Lid, Plastic, Round, 89mm	MedEquip&Supplies_Drug_Dispensing	each	Mold Rite			89mm lid	Mold Rite			FALSE		
QK55	Incentive Spirometer, 4000mL	MedEquip&Supplies_Rehabilitation	each	Medline		DHD224000		Amazon	B0070P2TFM	Incentive Spirometer, 4000ml	FALSE		
MH76	Nutritional supplement, Pediatric, 8oz can	Drugs_Nutrition	each	Abbott	PediaSure	55897		McKesson Medical	439571		FALSE		7.01E+10
MN49	Mat, for Chemo prep, Spill absorbent 11, 17in x 11in	MedEquip&Supplies_Chemotherapy	each	Covidien	Chemoplus	CT0300-1	Prep Mat Chemoplus? 17 L X 11 W Inch	McKesson Medical	297571	PREP MAT, SM 11"X17" (50/BX)	FALSE		
ZR64	Bag, for Chemotherapy waste, 31in x 41in, 30-33 gallon	MedEquip&Supplies_Chemotherapy	each	McKesson	Medi-Pak ULTRA-TUFF	03-47CBL4	Chemotherapy Waste Bag Medi-Pak? ULTRA-TUFF? 31 X 41 Inch Printed	McKesson Medical	165605	BAG, CHEMOTHERAPY 31X41 30-33GL (100/CS)	FALSE		
UB25	Underpad, 23in x 36in (chux)	MedEquip&Supplies_Patient_Apparel_&_Hospital_Textiles	each	Mckesson Brand		734-UPHV2336	Underpad StayDry 23 X 36 Inch Fluff, Polymer Disposable	McKesson Medical	724054	UNDERPAD, HVY ABSRB STAY DRY 23X36 (10/BG 6BG/CS)	FALSE	734-UPHV2336	
PX60	Tube, Suction, Yankauer, Sterile, Non-Vented, Rigid, Regular/Bulb tip	MedEquip&Supplies_Suction_Vacuum_Drainage	each	McKesson	Medi-Pak	16-66204		McKesson Medical	649121		FALSE		
FC00	Gown, Surgical, Sterile, Large	MedEquip&Supplies_Surgical	each	Welmed		1231050L		McKesson Medical	738392		FALSE		
AM12	HTH Granular 45 Kg	Facilities_Waste_&_Infection_Control	each					D'Adesky Import-Export	HTH100	HTH 100lbs (45 kg)	FALSE		
PK77	Burette set, 60drops/mL, 15mL priming vol, 150mL burnette chamber, 2 port, 87in tubing, auto shutoff	MedEquip&Supplies_IV_Supplies	each	Braun		375113		McKesson	459021	Administration Set Metriset 60 Drops / mL Drip Rate 87 Inch 2 Ports	FALSE		
NF78	Catheter, Foley, 2-way, 5cc balloon, Sterile, 18Fr	MedEquip&Supplies_Urological	each	Teleflex Medical	PureGold	318118		McKesson Medical	198488		FALSE		
XJ03	Cover, Mayo stand, Sterile, 23in x 54in	MedEquip&Supplies_Surgical	each	Welmed		1222-150	Mayo Stand Cover 23 X 54 Inch	McKesson Medical	747127	COVER, STAND MAYO REINF K-C FOLD STR 23X54 (60/CS)	FALSE		
QV29	Drape, Sterile, 18in x 26in	MedEquip&Supplies_Surgical	each	McKesson	Medi-Pak Performance	25-515	Minor Procedure Drape Medi-Pak? Performance Sterile Field Drape 18 W X 26 L Inch Sterile	McKesson Medical	68107	DRAPE, LINED POLY STR WHT 18"X26" (50/BX)	FALSE		
XP17	Gown, Surgical, Sterile, Extra large	MedEquip&Supplies_Surgical	each	Welmed		1231-050XL		McKesson Medical	738393		FALSE		
DY75	Dressing, Hemostat, Absorbable, 0.5in x 2in	MedEquip&Supplies_Surgical	each	Systagenix	Surgicel	1955	Absorbable Hemostat Dressing Surgicel? Oxidized Regenerated Cellulose 1/2 X 2 Inch	McKesson Medical	188567	HEMOSTAT, ABSRB SURGICL 1/2X2 (12/BX)	FALSE		
MS60	Sponge, Gauze, 8 ply, Sterile, 4in X 4in (10cm x 10cm)	MedEquip&Supplies_Wound_Care	each	McKesson	Medi-Pak	16-42448	Sponge Dressing Medi-Pak? Performance Plus Cotton Gauze 8-Ply 4 X 4 Inch Square	McKesson Medical	447085	SPONGE, GZE 4"X4" 8PLY STR (2PK 50PK/BX)	FALSE		
EM14	Autoclave tape, steam sterilisation, 18mm x 50m roll	MedEquip&Supplies_Sterilization	each	Browne		162		IDA	730500		FALSE		
RS36	Chloroquine phosphate, Oral solution, 10mg base/mL, 60mL bottle	Drugs_Antimalarial	each	Purna Pharmaceuticals NV				IDA	165103	Chloroquine phosph 10mg base/ml oral sol 60ml	FALSE		
ED86	Isosorbide dinitrate 5mg sublingual, blister	Drugs_Cardiovascular	each	Remedica				IDA	564513		FALSE		
HG35	Catheter, IV, with wings and injection port, 16G x 1.75in	MedEquip&Supplies_IV_Supplies	each	Poly Medicure Limited				IDA	714220		FALSE		
UT98	IV placement unit 18 G + injection port and wings	MedEquip&Supplies_IV_Supplies	each					IDA	714320	I.v. placement unit 18G + injection port and wings	FALSE		
MC10	IV placement unit 20 G + injection port and wings	MedEquip&Supplies_IV_Supplies	each					IDA	714420	I.v. placement unit 20G + injection port and wings	FALSE		
HG59	IV placement unit 22 G + injection port and wings	MedEquip&Supplies_IV_Supplies	each					IDA	714920	I.v., placement unit 22G + injection port and wings	FALSE		
UK33	Lubricating jelly, (k-y jelly), 82g, tube	MedEquip&Supplies_Patient_Care_&_Treatment	each	Medico (Huaian) Co. ltd		576964		IDA	374900	Lubricating jelly, sterile, 82g	FALSE		
YP81	Metoclopramide hydrochloride, 5mg/mL, 2mL ampoule	Drugs_Gastrointestinal	each					IDA	91000	Metoclopramide HCl 10mg/2ml inj	FALSE		
YK34	Microscope coverslips 22x22mm glass	Lab_General_Supplies	each					IDA	931902		FALSE		
EC62	Slide, Microscope, Glass, 26mm x 76mm x 1mm	Lab_General_Supplies	each					IDA	931502	Microscope slides 76x26mm tropical packing	FALSE		
HT61	Nystatin, 100,000 international units, vaginal insert	Drugs_Antifungal	each					IDA	151301		FALSE		
NA89	Paracetamol 120mg/5mL, Oral solution, 60mL	Drugs_Analgesic_&_Anesthesia	each					IDA	27603	Paracetamol 120mg/5ml oral solution 60ml	FALSE		
GD25	Silver sulfadiazine 1% cream, 50 g	Drugs_Dermatology	each	Agio Pharmaceuticals Factory				IDA	377206		FALSE		
XN64	Syringe, luer, 5mL, without needle	MedEquip&Supplies_Syringes	each					IDA	702100		FALSE		
CM22	Tablet bag, Resealable, with pictogram, 60mm x 80mm	MedEquip&Supplies_Drug_Dispensing	each	Taizhou Jiapeng Foreign				IDA	870400	Tabletbags resealable 60x80mm +pictogram 0.038mm	FALSE		
PB34	Timolol maleate, 0.25% eye drops, 5mL bottle	Drugs_Ophthalmic	each	Martindale Pharmaceuticals				IDA	328503		FALSE		
CY01	Blade, Dermatome	MedEquip&Supplies_Surgical	each	Integra		3539252	Blade, Dermatome (For Models S, SB, B and C)	Henry Schein	1134977	Blade Dermatome 4" Disposable Sterile 10/Bx	FALSE		
FX50	Drape, Minor procedure, Sterile, with adhesive, 57cm x 66cm	MedEquip&Supplies_Surgical	each	3M	Steri-Drape	1092	Small drape with adhesive aperture	McKesson Medical	5727		FALSE		
BA69	Cap, Bouffant, Spunbond, 21in	MedEquip&Supplies_Staff_Apparel_&_Personal_Safety	each	McKesson	Medi-Pak	40171100		McKesson Medical	237326		FALSE		
CK86	Bupivacaine hydrochloride 0.5% + Dextrose monohydrate 8%, 4mL	Drugs_Analgesic_&_Anesthesia	each	Haupt Pharma France				Imres	12147	bupivacaine hydrochloride 0.5 % + dextrose monohydrate 8 %, 4 ml	FALSE		
RF31	Ephedrine hydrochloride 50mg/mL, 1mL ampoule	Drugs_Autonomic_Nervous_System	each								FALSE		
HE68	Primaquine 15mg	Drugs_Antimalarial	each	IDA		166000					FALSE		
PF99	Hydrogen peroxide, 3%, 473mL bottle	MedEquip&Supplies_Skin_Prep	each	McKesson	McKesson Brand	23-D0012		McKesson Medical	142779	Hydrogen Peroxide, 3% 16oz (12/cs) Mgm23	FALSE		
KA02	Carbidopa 25mg + Levodopa 100mg tablet	Drugs_NSAIDs_&_Other_Central_Nervous_System	each	Teva Pharmaceuticals				IDA	45110	Levodopa 250mg + Carbidopa 25mg tab	FALSE		
SQ30	Resuscitator, with Bag, Disposable, Infant	MedEquip&Supplies_Respiratory_Resuscitation_&_Intubation	each	Ambu	SPUR II	540212000	Resuscitator Spur? II	McKesson Medical	533886	RESUSCITATOR, SPUR II INF (12/CS)	FALSE		
GB18	Resuscitator, with bag, Disposable, Pediatric	MedEquip&Supplies_Respiratory_Resuscitation_&_Intubation	each	Ambu	SPUR II	530213000	Resuscitator Ambu? SPUR? II Pediatric Toddler Oral / Nasal	McKesson Medical	533885	RESUSCITATOR, SPUR II PED TOD MASK (12/CS)	FALSE		
GP68	Tube, Capillary, Microhematocrit, Nonheparinized, 75mm	Lab_General_Supplies	each	Fisher Scientific	Fisherbrand	41A22-362-574		Fisher Scientific	22 362574	CPLRY TBE PLAIN BLU TIP 200/PK	FALSE		
GM97	Pipette, Transfer, Graduated, Disposable 7.7ml	Lab_General_Supplies	each	THERMO SCI MBP		23 225		Fisher Scientific	13 711 9D	FB TRNS PPT 7.5ML NS GRD 5C/PK	FALSE		
CA56	Plaster, Spot bandage, Round, Sheer, Fabric, 0.875in	MedEquip&Supplies_Wound_Care	each	Derma Sciences Inc		FABAABOSKXD024		Fisher Scientific	19027198		FALSE		
XU82	Pipette tips, 200uL, Yellow	Lab_General_Supplies	each	Fisher Scientific	Fisherbrand	110-11		Fisher Scientific	26812	200UL YELLOW TIP 1000/PK	FALSE		
CE56	Needle, Blood collection, Multi-sample, 21G x 1.5in	Lab_General_Supplies	each	Greiner Bio-One	Vacuette	450076		Fisher Scientific	22040064	VACU MULTI SAMPLE 21X1.5 100PK	FALSE		
MG68	Applicator, cotton tipped, non-sterile	MedEquip&Supplies_Wound_Care	each					Imres	10846	applicator sticks, wood, with cotton tip	FALSE		
YS84	CRP test (c-reactive protein in serum)	Lab_Reagents_Serology	each	Human Diagnostics Worldwide				Imres	39558	c-reactive protein in serum (CRP) test kit, 100 tests (Human Humatex 40043) (keep cool 2-8?C)	TRUE		
PF37	Dacarbazine, 200mg, vial	Drugs_Antineoplastic/Chemo	each	United Biotech	Dacmed 200 Inj			Angel		Dacarbazine 200mg Injection	TRUE		
FM08	Vinblastine sulphate, 1mg/mL, 10mL vial	Drugs_Antineoplastic/Chemo	each	United Biotech	Uniblastin			Angel		Vinblastine Sulphate 1mg/ml, 10ml Injection	TRUE		
MU90	Leucovorin Calcium, 10mg/mL, 5mL vial	Drugs_Antidotes_&_Emetics	each	United Biotech	Unifolin 50			Angel			TRUE		
JH00	Fluconazole, 10mg/mL, 35mL powder for suspension	Drugs_Antifungal	each	IDA		153900		DRI			FALSE		
FP18	Citric Acid 12.5% 30mL/Syr Ea	MedEquip&Supplies_Dental	each	Vista Dental Products		1078742	Vista Dental Products	Patterson	707-6458	Citric Acid 12.5% Solution, 30 ml Bulk Syringe	FALSE		
PD92	Squeeze cloth	MedEquip&Supplies_Dental	each	J R Rand		2016535		Patterson	083-8128		FALSE		
FN67	Kit, Restorative, Flowable, Assortment	MedEquip&Supplies_Dental	each	Kerr Corporation	Premise	1231139		Patterson	438-9011		FALSE		
PJ17	Copaliner Complete Kit	MedEquip&Supplies_Dental	each	Bosworth Co		2507159		Patterson	134-9000		FALSE		
DV31	Gel, Anesthetic, Topical, 20% benzocaine formula, Variety pack, 1oz bottle	MedEquip&Supplies_Dental	each	Gingi-Pak Pharmaceutical, Gingicaine		20111					FALSE		
SC34	Ortho Glass Ionomer Cement Kit 15gm Ea	MedEquip&Supplies_Dental	each	Henry Schein Inc		10-400		Henry Schein	1068629		FALSE		
VU69	Glasses, Uvex Ignite Eyewear Tint Lens Black	MedEquip&Supplies_Dental	each	Hager Worldwide Inc		1132780		Henry Schein	1132780EZ		FALSE		
ZQ83	Adhesive, Desensitizer, 4ml bottle	MedEquip&Supplies_Dental	each	Heraeus Kulzer, Inc.	Gluma Comfort	6657442		Patterson	448-6080		FALSE		
FP87	Floss, Mint, 5yd	MedEquip&Supplies_Dental	each	J&J Dental		039-0971		Patterson	406-6379		FALSE		
CU09	Flouride, Acclean Home Care Gel .4% Berry 4.3oz	MedEquip&Supplies_Dental	each	Henry Schein Inc		1027111					FALSE		
JH60	Lidocaine hydrochloride 2%, with epinephrine 1:100,000, Injection USP, 1.7mL	Drugs_Analgesic_&_Anesthesia	each	Henry Schein		4651205	Lidocaine Cartridge 2% 1:100 w/Epi 50/Bx, 20 BX/CA	Henry Schein	4651205	Lidocaine Cartridge 2% 1:100 w/Epi 50/Bx, 20 BX/CA	FALSE		0404-6512-05
JE37	Kit, Cement, Standard	MedEquip&Supplies_Dental	each	Premier Dental		3787840		Patterson	581-2102	"Nextemp Temporary Cement - Standard Kit - Standard Kit"	FALSE		
QA09	Spreader SE #D11T	MedEquip&Supplies_Dental	each	Henry Schein Inc		1003172					FALSE		
RQ47	Mepivacaine HCl, Injection USP, 10mg/mL, Cartridge, 1.7mL	Drugs_Analgesic_&_Anesthesia	each	Dentsply Pharmaceutical, 3% Polocaine							FALSE		66312-441-16
CN63	Prophy Star	MedEquip&Supplies_Dental	each	StarDental		8089698					FALSE		
TJ17	Sybraloy Caps Reg Set 1 Spill	MedEquip&Supplies_Dental	each	Kerr Corporation		1231509		Patterson	437-8352		FALSE		
TT30	Kit, Syringe, Enamel, Dentin	MedEquip&Supplies_Dental	each	Kerr Corporation		1236564		Patterson	426-4420		FALSE		
MF45	Gown, Chemotherapy, Large	MedEquip&Supplies_Staff_Apparel_&_Personal_Safety	each	Welmed		9100-440U	Chemotherapy Gown Large 100% Polyester Blue Adult	McKesson Medical	812337	GOWN, CHEMO W/KNIT CUFF BLU LG (25/BX 4BX/CS)	FALSE		
